Porosity,Permeability,Available fluid,Oil saturation,Total hydrocarbon (gas measurement),Total hydrocarbon (light hydrocarbon),Number of peaks,Benzene,Toluene,Methyl cycloalkane index,C1-C5/full hydrocarbon,C1/full hydrocarbon
15.61,6.020772044,39.19,7.13,1.601,38777.406,44.4,67.3586,151.9158,0.4525291,0.80019136,0.36132734
12.79,0.416545291,20.16,5.59,1.334,31344.6375,44.25,56.21525,132.192,0.453545825,0.79011145,0.37246865
9.64,0.119818697,19.25,4.08,0.7999999,18956.69,44,37.643,99.319,0.4552402,0.7733116,0.3910375
13.88,5.745805709,44.33,6.88,0.478,18956.69,44,37.643,99.319,0.4552402,0.7733116,0.3910375
12.04,2.163224997,39.37,9.91,0.7474,18956.69,44,37.643,99.319,0.4552402,0.7733116,0.3910375
9.25,0.04360998,13.51,6.5,1.2468,18956.69,44,37.643,99.319,0.4552402,0.7733116,0.3910375
7.25,0.010094613,10.9,8.16,1.46,18956.69,44,37.643,99.319,0.4552402,0.7733116,0.3910375
9.64,0.160416504,21.62,6.18,1.262399,18956.69,44,37.643,99.319,0.4552402,0.7733116,0.3910375
11.59,0.550638239,26.12,8.17,0.329,32366.1475,33.75,26.68825,70.066,0.364206225,0.90560575,0.5911524
13.94,3.910148277,39.44,10.36,3.005,32293.06,33,34.738,86.98,0.3445176,0.8745406,0.4226592
10.82,0.107175644,15.18,13.27,2.682,21076.62,57,10.869,35.208,0.3873624,0.9165799,0.6420197
10.01,0.169887028,20.84,15.99,0.257,29087.92,41,22.787,61.291,0.4740089,0.8823886,0.6211599
12.64,0.729354878,25.49,6.78,1.919,197.872,10,0,0,0,0.9291916,0.7327465
8.69,0.04641772,15.44,13.16,1.7414,32985.5,40,10.712,39.949,0.2159498,0.8531487,0.5564179
9.17,0.12420376,21.15,12.63,1.338,49249.37,43,55.258,118.516,0.4115333,0.8754848,0.4278407
5.26,0.007543932,16.73,30.4,4.128,28482.83,33,15.047,48.473,0.4087574,0.9187497,0.7366627
9.75,0.076063243,15.66,12.44,1.8666,28482.83,33,15.047,48.473,0.4087574,0.9187497,0.7366627
8.32,0.015930696,10.45,14.73,3.163,8935.64,37,9.58,14.649,0.3329888,0.9671677,0.8403808
10.28,0.280647416,24.29,11.77,0.4564,2988.581,41,10.337,18.98,0.4782553,0.7339193,0.5108445
5.1,0.000151543,2.94,17.54,0.2679999,1767.012,39,8.39,11.227,0.5395935,0.6342142,0.4429919
4.34,0.001613683,12.01,16.2,0.177,66.058,2,0,0,0,1,0.9751885
5.72,0.00152192,7.09,10.28,0.204,1191.796,34,0,0,0.9092326,0.8364764,2.92830197
3.25,0.000151953,6.95,10.48,1.342,1191.796,34,0,0,0.9092326,0.8364764,2.92830197
4.85,0.003410052,13.71,10.55,0.843,13299.78,48,31.765,41.182,1.823323,0.915396,0.7473502
3.8,0.004490934,22.9,17.66,0.8,320.64,6,0,0,0,1,0.6784867
2.88,0.000326723,12.24,11.98,0.746,677.533,19,0,0,0,0.7896796,0.5290783
5.6,0.014052789,19.48,10.6,6.779,15059.602,58,24.591,229.7025,1.41569165,0.5420751,0.403007437
